order_id,user_account_id,video_genre,playback_duration_minutes,order_status,order_date,quarantine_reason
654,USR-000270,ROMANCE,26.57,COMPLETED,not_a_date,invalid_or_missing_order_date
667,USR-000945,DOCUMENTARY,-127.3,COMPLETED,2025-12-07 19:18:38,non_positive_playback_duration
675,0000,SPORTS,-82.71,COMPLETED,2025-08-02 11:17:01,non_positive_playback_duration
682,USR-000675,TRUE CRIME,0.0,COMPLETED,2025-08-08 19:01:03,non_positive_playback_duration
701,   ,REALITY TV,65.22,COMPLETED,2026-04-15 11:35:28,missing_user_account_id
780,USR-000467,HORROR,0.0,COMPLETED,2024-08-06 08:51:43,non_positive_playback_duration
785,USR-001184,UNKNOWN,54.08,COMPLETED,2023-13-45 25:99:99,invalid_or_missing_order_date
788,,SPORTS,365.67,COMPLETED,2026-06-29 19:57:35,missing_user_account_id
815,   ,ROMANCE,10.77,COMPLETED,2023-05-10 20:26:39,missing_user_account_id
824,USR-001312,SPORTS,,COMPLETED,2024-10-10 00:43:54,missing_playback_duration
868,USR-001173,HORROR,0.0,CANCELLED,2025-02-10 15:29:19,non_positive_playback_duration
871,   ,K DRAMA,3.96,COMPLETED,08/20/2026,missing_user_account_id
876,USR-000841,K DRAMA,999999.99,PENDING,2026-07-03 14:09:39,implausible_playback_duration
882,USR-000230,UNKNOWN,384.88,COMPLETED,NaT,invalid_or_missing_order_date
921,USR-001234,FANTASY,63.69,COMPLETED,,invalid_or_missing_order_date
953,USR--00012,COMEDY,111.14,COMPLETED,0000-00-00,invalid_or_missing_order_date
954,USR-001037,SPORTS,,CANCELLED,2026-06-26 12:31:39,missing_playback_duration
975,usr_00000,MUSICAL,2.43,COMPLETED,   ,invalid_or_missing_order_date
987,USR-000823,COMEDY,-25.71,COMPLETED,08/20/2026,non_positive_playback_duration
996,USR-001101,ACTION,103.29,COMPLETED,   ,invalid_or_missing_order_date
1004,0000,HORROR,84.52,COMPLETED,0000-00-00,invalid_or_missing_order_date
1011,USR-000005,TRUE CRIME,,REFUNDED,2026-08-04 15:20:04,missing_playback_duration
1024,USR-000911,DOCUMENTARY,207.46,COMPLETED,2026-08-20T10:15:00Z-broken,invalid_or_missing_order_date
1086,USR-000195,UNKNOWN,999999.99,COMPLETED,2025-11-19 01:57:47,implausible_playback_duration
1087,USR-000360,UNKNOWN,,COMPLETED,2026-08-15 20:14:31,missing_playback_duration
1093,USR-000049,THRILLER,0.0,COMPLETED,2025-04-17 18:59:58,non_positive_playback_duration
1106,USR-001427,COMEDY,0.0,COMPLETED,2025-01-12 02:53:59,non_positive_playback_duration
1127,USR-,SPORTS,115.67,COMPLETED,0000-00-00,invalid_or_missing_order_date
1139,USR-001029,HORROR,0.0,COMPLETED,2025-01-12 23:40:23,non_positive_playback_duration
1169,USR-001130,ANIMATION,0.0,COMPLETED,08/20/2026,non_positive_playback_duration
1186,USR-001480,DOCUMENTARY,-116.54,COMPLETED,2024-10-31 05:31:49,non_positive_playback_duration
1203,USR-000585,SCI FI,0.0,COMPLETED,2023-06-06 12:40:06,non_positive_playback_duration
1260,USR-ABCDEF,HORROR,0.0,COMPLETED,2023-02-06 19:03:08,non_positive_playback_duration
1328,USR-000820,DRAMA,999999.99,COMPLETED,2025-08-09 04:58:06,implausible_playback_duration
1354,,REALITY TV,24.11,COMPLETED,2023-06-05 07:59:21,missing_user_account_id
1394,,ACTION,374.75,COMPLETED,2025-01-10 01:57:51,missing_user_account_id
1409,usr_00000,SPORTS,0.0,COMPLETED,2025-08-05 14:30:43,non_positive_playback_duration
1471,USR-001144,UNKNOWN,-30.06,COMPLETED,2025-09-12 15:46:06,non_positive_playback_duration
1482,USR-001383,K DRAMA,999999.99,COMPLETED,2026-08-20T10:15:00Z-broken,implausible_playback_duration;invalid_or_missing_order_date
1483,USR-000112,ANIMATION,,COMPLETED,2025-09-15 09:43:22,missing_playback_duration
1487,USR-001097,UNKNOWN,0.0,COMPLETED,2024-09-06 10:17:19,non_positive_playback_duration
1495,USR-000772,REALITY TV,146.52,PENDING,NaT,invalid_or_missing_order_date
1517,USR-001262,SPORTS,0.0,COMPLETED,2023-13-45 25:99:99,non_positive_playback_duration;invalid_or_missing_order_date
1532,USR-ABCDEF,TRUE CRIME,0.0,COMPLETED,2023-08-18 03:43:06,non_positive_playback_duration
1551,USR-001429,ROMANCE,6.72,COMPLETED,not_a_date,invalid_or_missing_order_date
1553,USR-000165,DOCUMENTARY,999999.99,COMPLETED,2023-05-21 01:39:55,implausible_playback_duration
1557,USR-001094,DRAMA,22.49,UNKNOWN,0000-00-00,invalid_or_missing_order_date
1564,USR-000871,ANIMATION,999999.99,COMPLETED,2025-02-18 22:12:45,implausible_playback_duration
1577,USR-001028,UNKNOWN,999999.99,COMPLETED,2023-10-09 13:52:40,implausible_playback_duration
1643,USR-000914,ROMANCE,0.0,COMPLETED,2026/08/20,non_positive_playback_duration
1644,USR-000408,ANIMATION,-71.95,COMPLETED,2023-08-06 21:38:32,non_positive_playback_duration
1650,USR-000150,DOCUMENTARY,999999.99,COMPLETED,2023-02-03 08:57:50,implausible_playback_duration
1665,USR-001265,TRUE CRIME,0.0,COMPLETED,NaT,non_positive_playback_duration;invalid_or_missing_order_date
1730,USR-000246,DRAMA,24.31,COMPLETED,   ,invalid_or_missing_order_date
1732,USR-001436,FANTASY,17.78,COMPLETED,,invalid_or_missing_order_date
1733,USR-000364,TRUE CRIME,0.0,COMPLETED,2024-02-09 16:21:05,non_positive_playback_duration
1735,   ,COMEDY,225.83,COMPLETED,2023-01-20 12:57:35,missing_user_account_id
1755,USR-001394,REALITY TV,,REFUNDED,2025-12-08 07:33:02,missing_playback_duration
1859,,SPORTS,255.66,COMPLETED,2025-12-15 12:26:32,missing_user_account_id
1864,,TRUE CRIME,254.18,COMPLETED,2024-03-21 02:07:55,missing_user_account_id
1882,USR-000201,TRUE CRIME,116.91,COMPLETED,,invalid_or_missing_order_date
1913,USR-000390,ANIME,0.0,COMPLETED,2026-05-24 16:44:19,non_positive_playback_duration
1918,USR-001047,TRUE CRIME,999999.99,COMPLETED,1970-01-01 00:00:00,implausible_playback_duration
1937,   ,COMEDY,142.86,COMPLETED,2023-08-09 00:29:58,missing_user_account_id
1938,USR-000381,THRILLER,0.0,COMPLETED,2023-04-14 17:41:52,non_positive_playback_duration
1972,USR-000986,DRAMA,50.97,COMPLETED,0000-00-00,invalid_or_missing_order_date
1989,,COMEDY,130.31,COMPLETED,2026-05-02 11:22:39,missing_user_account_id
1990,USR-000273,K DRAMA,0.0,UNKNOWN,2023-10-13 18:35:46,non_positive_playback_duration
2002,USR-001359,COMEDY,67.41,COMPLETED,,invalid_or_missing_order_date
2022,USR-000672,DOCUMENTARY,0.0,COMPLETED,2025-07-25 13:58:48,non_positive_playback_duration
2051,USR-001426,ANIMATION,0.0,COMPLETED,2025-05-28 00:46:03,non_positive_playback_duration
2080,   ,ACTION,,COMPLETED,2024-08-11 19:49:26,missing_playback_duration;missing_user_account_id
2162,USR-000349,DOCUMENTARY,61.96,COMPLETED,   ,invalid_or_missing_order_date
2173,usr_00000,TRUE CRIME,0.0,COMPLETED,2023-01-26 02:43:21,non_positive_playback_duration
2182,USR-001396,ACTION,0.0,COMPLETED,08/20/2026,non_positive_playback_duration
2188,N/A,FANTASY,12.47,COMPLETED,NaT,invalid_or_missing_order_date
2208,USR-001310,THRILLER,0.0,COMPLETED,2023-07-23 16:48:08,non_positive_playback_duration
2209,N/A,DRAMA,,COMPLETED,2025-01-16 11:25:36,missing_playback_duration
2210,USR-000418,TRUE CRIME,116.61,COMPLETED,NaT,invalid_or_missing_order_date
2252,USR-001478,FANTASY,-34.93,COMPLETED,2026-06-05 02:04:38,non_positive_playback_duration
2262,USR-001276,DRAMA,,COMPLETED,2024-07-31 20:02:21,missing_playback_duration
2267,USR--00012,HORROR,163.72,COMPLETED,,invalid_or_missing_order_date
2282,USR-ABCDEF,FANTASY,999999.99,COMPLETED,2024-03-21 07:16:26,implausible_playback_duration
2361,USR-000062,FANTASY,592.53,UNKNOWN,,invalid_or_missing_order_date
2365,,DRAMA,9.33,UNKNOWN,2024-01-01 10:04:37,missing_user_account_id
2395,,ANIME,27.86,COMPLETED,2026-06-22 01:11:03,missing_user_account_id
2410,USR-001444,COMEDY,0.0,COMPLETED,2024-06-05 06:42:56,non_positive_playback_duration
2414,USR-001407,ACTION,574.09,COMPLETED,2026-08-20T10:15:00Z-broken,invalid_or_missing_order_date
2419,USR-000902,K DRAMA,-101.59,COMPLETED,2026/08/20,non_positive_playback_duration
2473,   ,FANTASY,10.71,COMPLETED,2026-01-23 17:42:46,missing_user_account_id
2485,USR-000508,UNKNOWN,130.74,COMPLETED,not_a_date,invalid_or_missing_order_date
2495,USR-000900,UNKNOWN,,COMPLETED,2024-05-20 14:54:35,missing_playback_duration
2496,,ACTION,22.29,COMPLETED,not_a_date,missing_user_account_id;invalid_or_missing_order_date
2534,,SCI FI,287.78,COMPLETED,2025-10-30 15:12:43,missing_user_account_id
2562,USR-000586,DRAMA,149.32,COMPLETED,0000-00-00,invalid_or_missing_order_date
2604,USR-000225,K DRAMA,51.14,COMPLETED,0000-00-00,invalid_or_missing_order_date
2618,0000,FANTASY,62.22,COMPLETED,2023-13-45 25:99:99,invalid_or_missing_order_date
2622,,ROMANCE,30.21,COMPLETED,2026-01-18 15:49:46,missing_user_account_id
2626,USR-000343,ACTION,24.0,COMPLETED,,invalid_or_missing_order_date
2647,   ,ANIME,146.67,COMPLETED,2025-05-16 18:11:15,missing_user_account_id
2655,   ,ACTION,142.85,COMPLETED,2024-11-13 20:36:42,missing_user_account_id
2662,USR-001265,UNKNOWN,119.8,COMPLETED,0000-00-00,invalid_or_missing_order_date
2672,USR-,SPORTS,-94.94,COMPLETED,2024-03-19 02:33:20,non_positive_playback_duration
2703,USR-000791,FANTASY,0.0,COMPLETED,2023-10-16 20:14:54,non_positive_playback_duration
2709,USR-000088,ANIME,0.0,COMPLETED,2025-04-29 12:31:41,non_positive_playback_duration
2752,USR-000935,ANIMATION,0.0,COMPLETED,2024-11-11 21:49:42,non_positive_playback_duration
2759,USR-000004,ROMANCE,-179.65,COMPLETED,2023-01-29 05:33:53,non_positive_playback_duration
2772,,COMEDY,7.07,COMPLETED,2026-01-02 06:15:45,missing_user_account_id
2787,usr_00000,ACTION,0.0,COMPLETED,2026-02-10 22:47:58,non_positive_playback_duration
2826,USR-000591,UNKNOWN,38.63,COMPLETED,not_a_date,invalid_or_missing_order_date
2860,,TRUE CRIME,2.11,COMPLETED,2023-12-02 14:28:00,missing_user_account_id
2873,USR-000096,DOCUMENTARY,139.93,COMPLETED,2023-13-45 25:99:99,invalid_or_missing_order_date
2875,USR-000395,THRILLER,0.0,COMPLETED,2024-01-16 02:16:34,non_positive_playback_duration
2900,USR-000657,UNKNOWN,20.24,COMPLETED,,invalid_or_missing_order_date
2933,USR-000526,TRUE CRIME,999999.99,COMPLETED,2024-09-19 19:08:20,implausible_playback_duration
2941,   ,ACTION,0.0,COMPLETED,2024-10-31 09:24:40,non_positive_playback_duration;missing_user_account_id
2958,USR-ABCDEF,ANIMATION,40.66,COMPLETED,2023-13-45 25:99:99,invalid_or_missing_order_date
2983,USR-001236,THRILLER,103.05,COMPLETED,NaT,invalid_or_missing_order_date
2990,USR-001178,SPORTS,7.7,COMPLETED,,invalid_or_missing_order_date
3034,USR-000017,HORROR,0.0,COMPLETED,2023-03-10 01:02:49,non_positive_playback_duration
3038,   ,TRUE CRIME,146.54,COMPLETED,2024-04-03 16:40:41,missing_user_account_id
3087,USR-000139,FANTASY,-171.14,COMPLETED,2023-13-45 25:99:99,non_positive_playback_duration;invalid_or_missing_order_date
3094,USR-001011,ANIME,0.0,COMPLETED,2024-01-31 18:21:13,non_positive_playback_duration
3096,USR-000272,REALITY TV,88.55,COMPLETED,,invalid_or_missing_order_date
3116,USR-000880,UNKNOWN,396.89,COMPLETED,   ,invalid_or_missing_order_date
3124,USR-001286,MUSICAL,102.98,COMPLETED,   ,invalid_or_missing_order_date
3128,USR-001045,FANTASY,0.0,COMPLETED,2023-11-23 09:01:00,non_positive_playback_duration
3137,USR-001063,THRILLER,117.5,ERROR,2023-13-45 25:99:99,invalid_or_missing_order_date
3148,USR-001356,ROMANCE,314.72,COMPLETED,0000-00-00,invalid_or_missing_order_date
3179,,K DRAMA,999999.99,COMPLETED,2025-10-07 17:18:00,implausible_playback_duration;missing_user_account_id
3190,USR-000155,ANIMATION,0.0,COMPLETED,2023-08-09 01:44:50,non_positive_playback_duration
3212,USR-ABCDEF,HORROR,38.86,COMPLETED,2026-08-20T10:15:00Z-broken,invalid_or_missing_order_date
3216,USR-000426,HORROR,44.09,COMPLETED,   ,invalid_or_missing_order_date
3301,   ,DOCUMENTARY,294.52,COMPLETED,2023-03-27 08:27:46,missing_user_account_id
3306,,REALITY TV,168.02,COMPLETED,2024-01-16 08:20:31,missing_user_account_id
3310,USR-000414,SPORTS,16.07,COMPLETED,NaT,invalid_or_missing_order_date
3316,USR-000247,ACTION,0.0,COMPLETED,08/20/2026,non_positive_playback_duration
3343,   ,ROMANCE,198.02,REFUNDED,2024-10-21 02:47:56,missing_user_account_id
3407,,HORROR,46.39,COMPLETED,2026-07-22 01:55:00,missing_user_account_id
3477,USR-001025,TRUE CRIME,38.24,COMPLETED,0000-00-00,invalid_or_missing_order_date
3526,USR-001014,ANIME,0.0,COMPLETED,2026-01-02 18:59:15,non_positive_playback_duration
3528,   ,COMEDY,537.04,COMPLETED,2026-06-30 15:15:54,missing_user_account_id
3539,USR-001298,ANIME,39.68,COMPLETED,2023-13-45 25:99:99,invalid_or_missing_order_date
3542,USR-000562,SCI FI,999999.99,COMPLETED,2023-13-45 25:99:99,implausible_playback_duration;invalid_or_missing_order_date
3550,USR-000039,ANIMATION,-44.06,COMPLETED,1970-01-01 00:00:00,non_positive_playback_duration
3574,USR-000816,ANIME,,COMPLETED,2026-01-27 03:12:55,missing_playback_duration
3582,USR-001317,TRUE CRIME,474.25,COMPLETED,   ,invalid_or_missing_order_date
3590,USR-000263,ACTION,,COMPLETED,2024-03-14 02:41:27,missing_playback_duration
3597,,DOCUMENTARY,,COMPLETED,2024-07-14 19:16:36,missing_playback_duration;missing_user_account_id
3615,USR-000397,ANIMATION,26.21,COMPLETED,,invalid_or_missing_order_date
3624,USR-000048,ANIMATION,147.07,COMPLETED,2026-08-20T10:15:00Z-broken,invalid_or_missing_order_date
3625,USR-000419,COMEDY,,COMPLETED,2025-09-01 00:26:24,missing_playback_duration
3627,USR-000872,THRILLER,-143.13,REFUNDED,2025-10-02 07:39:43,non_positive_playback_duration
3678,0000,REALITY TV,0.0,COMPLETED,2023-06-01 19:18:17,non_positive_playback_duration
3701,USR-000326,ACTION,-165.21,COMPLETED,2025-06-28 16:02:13,non_positive_playback_duration
3728,,DOCUMENTARY,14.39,COMPLETED,2025-04-23 15:28:58,missing_user_account_id
3739,USR-001024,ANIMATION,-159.18,COMPLETED,2024-04-14 10:38:02,non_positive_playback_duration
3763,USR-000813,ACTION,2.85,COMPLETED,,invalid_or_missing_order_date
3778,,DRAMA,15.77,REFUNDED,2025-01-24 02:00:50,missing_user_account_id
3861,USR-001063,COMEDY,0.0,COMPLETED,2026-08-14 17:38:13,non_positive_playback_duration
3888,USR-001042,ANIMATION,-167.59,COMPLETED,1970-01-01 00:00:00,non_positive_playback_duration
3925,USR-000339,DOCUMENTARY,0.0,COMPLETED,2026-08-20T10:15:00Z-broken,non_positive_playback_duration;invalid_or_missing_order_date
3936,   ,SCI FI,32.67,COMPLETED,2025-01-14 20:28:10,missing_user_account_id
3947,USR-000680,DRAMA,,COMPLETED,,missing_playback_duration;invalid_or_missing_order_date
3955,,FANTASY,20.18,COMPLETED,2025-12-01 07:31:01,missing_user_account_id
3956,USR-000679,ACTION,-121.07,COMPLETED,2026/08/20,non_positive_playback_duration
3968,,TRUE CRIME,36.17,COMPLETED,2025-08-04 06:50:24,missing_user_account_id
3972,USR-000679,MUSICAL,999999.99,COMPLETED,2024-01-24 12:55:49,implausible_playback_duration
3974,,ANIME,240.64,UNKNOWN,2025-07-13 11:24:33,missing_user_account_id
3984,USR-000641,MUSICAL,,COMPLETED,2024-03-06 11:10:40,missing_playback_duration
3993,USR-001347,ACTION,0.0,COMPLETED,2023-12-05 12:20:54,non_positive_playback_duration
3999,USR-000988,SPORTS,0.0,COMPLETED,2024-05-27 05:34:09,non_positive_playback_duration
